,year,doy,hr,kp,ssn,dst,f10_7
2020-08-02 00:00:00,YEAR,DOY,HR,1,2,3,4.0
2020-08-02 01:00:00,2020,215,0,3,15,18,74.9
2020-08-02 02:00:00,2020,215,1,3,15,16,74.9
2020-08-02 03:00:00,2020,215,2,3,15,10,74.9
2020-08-02 04:00:00,2020,215,3,7,15,7,74.9
2020-08-02 05:00:00,2020,215,4,7,15,6,74.9
2020-08-02 06:00:00,2020,215,5,7,15,11,74.9
2020-08-02 07:00:00,2020,215,6,10,15,17,74.9
2020-08-02 08:00:00,2020,215,7,10,15,14,74.9
2020-08-02 09:00:00,2020,215,8,10,15,19,74.9
2020-08-02 10:00:00,2020,215,9,27,15,22,74.9
2020-08-02 11:00:00,2020,215,10,27,15,21,74.9
2020-08-02 12:00:00,2020,215,11,27,15,12,74.9
2020-08-02 13:00:00,2020,215,12,33,15,-2,74.9
2020-08-02 14:00:00,2020,215,13,33,15,-14,74.9
2020-08-02 15:00:00,2020,215,14,33,15,-12,74.9
2020-08-02 16:00:00,2020,215,15,30,15,-14,74.9
2020-08-02 17:00:00,2020,215,16,30,15,-14,74.9
2020-08-02 18:00:00,2020,215,17,30,15,-7,74.9
2020-08-02 19:00:00,2020,215,18,20,15,0,74.9
2020-08-02 20:00:00,2020,215,19,20,15,3,74.9
2020-08-02 21:00:00,2020,215,20,20,15,9,74.9
2020-08-02 22:00:00,2020,215,21,30,15,-3,74.9
2020-08-02 23:00:00,2020,215,22,30,15,-8,74.9
2020-08-03 00:00:00,2020,215,23,30,15,-5,74.9
2020-08-03 01:00:00,2020,216,0,33,11,-2,74.8
2020-08-03 02:00:00,2020,216,1,33,11,-1,74.8
2020-08-03 03:00:00,2020,216,2,33,11,-2,74.8
2020-08-03 04:00:00,2020,216,3,33,11,-19,74.8
2020-08-03 05:00:00,2020,216,4,33,11,-17,74.8
2020-08-03 06:00:00,2020,216,5,33,11,-16,74.8
2020-08-03 07:00:00,2020,216,6,30,11,-22,74.8
2020-08-03 08:00:00,2020,216,7,30,11,-20,74.8
2020-08-03 09:00:00,2020,216,8,30,11,-28,74.8
2020-08-03 10:00:00,2020,216,9,27,11,-30,74.8
2020-08-03 11:00:00,2020,216,10,27,11,-18,74.8
2020-08-03 12:00:00,2020,216,11,27,11,-12,74.8
2020-08-03 13:00:00,2020,216,12,23,11,-7,74.8
2020-08-03 14:00:00,2020,216,13,23,11,-7,74.8
2020-08-03 15:00:00,2020,216,14,23,11,-9,74.8
2020-08-03 16:00:00,2020,216,15,33,11,-8,74.8
2020-08-03 17:00:00,2020,216,16,33,11,-3,74.8
2020-08-03 18:00:00,2020,216,17,33,11,-7,74.8
2020-08-03 19:00:00,2020,216,18,30,11,-13,74.8
2020-08-03 20:00:00,2020,216,19,30,11,-16,74.8
2020-08-03 21:00:00,2020,216,20,30,11,-16,74.8
2020-08-03 22:00:00,2020,216,21,33,11,-15,74.8
2020-08-03 23:00:00,2020,216,22,33,11,-21,74.8
2020-08-04 00:00:00,2020,216,23,33,11,-18,74.8
2020-08-04 01:00:00,2020,217,0,20,11,-14,75.1
2020-08-04 02:00:00,2020,217,1,20,11,-13,75.1
2020-08-04 03:00:00,2020,217,2,20,11,-18,75.1
2020-08-04 04:00:00,2020,217,3,33,11,-21,75.1
2020-08-04 05:00:00,2020,217,4,33,11,-20,75.1
2020-08-04 06:00:00,2020,217,5,33,11,-15,75.1
2020-08-04 07:00:00,2020,217,6,13,11,-13,75.1
2020-08-04 08:00:00,2020,217,7,13,11,-12,75.1
2020-08-04 09:00:00,2020,217,8,13,11,-11,75.1
2020-08-04 10:00:00,2020,217,9,17,11,-10,75.1
2020-08-04 11:00:00,2020,217,10,17,11,-9,75.1
2020-08-04 12:00:00,2020,217,11,17,11,-5,75.1
2020-08-04 13:00:00,2020,217,12,13,11,-5,75.1
2020-08-04 14:00:00,2020,217,13,13,11,-5,75.1
2020-08-04 15:00:00,2020,217,14,13,11,-5,75.1
2020-08-04 16:00:00,2020,217,15,13,11,-2,75.1
2020-08-04 17:00:00,2020,217,16,13,11,-1,75.1
2020-08-04 18:00:00,2020,217,17,13,11,-3,75.1
2020-08-04 19:00:00,2020,217,18,13,11,-3,75.1
2020-08-04 20:00:00,2020,217,19,13,11,-6,75.1
2020-08-04 21:00:00,2020,217,20,13,11,-10,75.1
2020-08-04 22:00:00,2020,217,21,17,11,-8,75.1
2020-08-04 23:00:00,2020,217,22,17,11,-11,75.1
2020-08-05 00:00:00,2020,217,23,17,11,-13,75.1
2020-08-05 01:00:00,2020,218,0,17,12,-11,75.6
2020-08-05 02:00:00,2020,218,1,17,12,-8,75.6
2020-08-05 03:00:00,2020,218,2,17,12,-11,75.6
2020-08-05 04:00:00,2020,218,3,13,12,-12,75.6
2020-08-05 05:00:00,2020,218,4,13,12,-11,75.6
2020-08-05 06:00:00,2020,218,5,13,12,-14,75.6
2020-08-05 07:00:00,2020,218,6,10,12,-14,75.6
2020-08-05 08:00:00,2020,218,7,10,12,-12,75.6
2020-08-05 09:00:00,2020,218,8,10,12,-11,75.6
2020-08-05 10:00:00,2020,218,9,7,12,-11,75.6
2020-08-05 11:00:00,2020,218,10,7,12,-11,75.6
2020-08-05 12:00:00,2020,218,11,7,12,-9,75.6
2020-08-05 13:00:00,2020,218,12,7,12,-7,75.6
2020-08-05 14:00:00,2020,218,13,7,12,-7,75.6
2020-08-05 15:00:00,2020,218,14,7,12,-4,75.6
2020-08-05 16:00:00,2020,218,15,10,12,-2,75.6
2020-08-05 17:00:00,2020,218,16,10,12,-3,75.6
2020-08-05 18:00:00,2020,218,17,10,12,-5,75.6
2020-08-05 19:00:00,2020,218,18,23,12,-4,75.6
2020-08-05 20:00:00,2020,218,19,23,12,-7,75.6
2020-08-05 21:00:00,2020,218,20,23,12,-5,75.6
2020-08-05 22:00:00,2020,218,21,13,12,-7,75.6
2020-08-05 23:00:00,2020,218,22,13,12,-12,75.6
2020-08-06 00:00:00,2020,218,23,13,12,-15,75.6
2020-08-06 01:00:00,2020,219,0,7,14,-16,75.1
2020-08-06 02:00:00,2020,219,1,7,14,-16,75.1
2020-08-06 03:00:00,2020,219,2,7,14,-13,75.1
2020-08-06 04:00:00,2020,219,3,13,14,-7,75.1
2020-08-06 05:00:00,2020,219,4,13,14,-2,75.1
2020-08-06 06:00:00,2020,219,5,13,14,1,75.1
2020-08-06 07:00:00,2020,219,6,3,14,1,75.1
2020-08-06 08:00:00,2020,219,7,3,14,0,75.1
2020-08-06 09:00:00,2020,219,8,3,14,-2,75.1
2020-08-06 10:00:00,2020,219,9,7,14,-5,75.1
2020-08-06 11:00:00,2020,219,10,7,14,-3,75.1
2020-08-06 12:00:00,2020,219,11,7,14,-1,75.1
2020-08-06 13:00:00,2020,219,12,17,14,-3,75.1
2020-08-06 14:00:00,2020,219,13,17,14,-8,75.1
2020-08-06 15:00:00,2020,219,14,17,14,-6,75.1
2020-08-06 16:00:00,2020,219,15,13,14,-6,75.1
2020-08-06 17:00:00,2020,219,16,13,14,-8,75.1
2020-08-06 18:00:00,2020,219,17,13,14,-9,75.1
2020-08-06 19:00:00,2020,219,18,7,14,-12,75.1
2020-08-06 20:00:00,2020,219,19,7,14,-10,75.1
2020-08-06 21:00:00,2020,219,20,7,14,-4,75.1
2020-08-06 22:00:00,2020,219,21,20,14,-7,75.1
2020-08-06 23:00:00,2020,219,22,20,14,-14,75.1
2020-08-07 00:00:00,2020,219,23,20,14,-16,75.1
2020-08-07 01:00:00,2020,220,0,17,17,-13,76.0
2020-08-07 02:00:00,2020,220,1,17,17,-14,76.0
2020-08-07 03:00:00,2020,220,2,17,17,-14,76.0
2020-08-07 04:00:00,2020,220,3,10,17,-13,76.0
2020-08-07 05:00:00,2020,220,4,10,17,-13,76.0
2020-08-07 06:00:00,2020,220,5,10,17,-11,76.0
2020-08-07 07:00:00,2020,220,6,0,17,-5,76.0
2020-08-07 08:00:00,2020,220,7,0,17,-3,76.0
2020-08-07 09:00:00,2020,220,8,0,17,-2,76.0
2020-08-07 10:00:00,2020,220,9,3,17,-2,76.0
2020-08-07 11:00:00,2020,220,10,3,17,-2,76.0
2020-08-07 12:00:00,2020,220,11,3,17,2,76.0
2020-08-07 13:00:00,2020,220,12,3,17,4,76.0
2020-08-07 14:00:00,2020,220,13,3,17,5,76.0
2020-08-07 15:00:00,2020,220,14,3,17,4,76.0
2020-08-07 16:00:00,2020,220,15,3,17,3,76.0
2020-08-07 17:00:00,2020,220,16,3,17,0,76.0
2020-08-07 18:00:00,2020,220,17,3,17,0,76.0
2020-08-07 19:00:00,2020,220,18,7,17,1,76.0
2020-08-07 20:00:00,2020,220,19,7,17,1,76.0
2020-08-07 21:00:00,2020,220,20,7,17,1,76.0
2020-08-07 22:00:00,2020,220,21,13,17,-2,76.0
2020-08-07 23:00:00,2020,220,22,13,17,-3,76.0
2020-08-08 00:00:00,2020,220,23,13,17,-1,76.0
2020-08-08 01:00:00,2020,221,0,20,12,-3,76.8
2020-08-08 02:00:00,2020,221,1,20,12,-6,76.8
2020-08-08 03:00:00,2020,221,2,20,12,-5,76.8
2020-08-08 04:00:00,2020,221,3,17,12,-4,76.8
2020-08-08 05:00:00,2020,221,4,17,12,-4,76.8
2020-08-08 06:00:00,2020,221,5,17,12,-5,76.8
2020-08-08 07:00:00,2020,221,6,13,12,-8,76.8
2020-08-08 08:00:00,2020,221,7,13,12,-10,76.8
2020-08-08 09:00:00,2020,221,8,13,12,-11,76.8
2020-08-08 10:00:00,2020,221,9,10,12,-7,76.8
2020-08-08 11:00:00,2020,221,10,10,12,-5,76.8
2020-08-08 12:00:00,2020,221,11,10,12,-4,76.8
2020-08-08 13:00:00,2020,221,12,13,12,-7,76.8
2020-08-08 14:00:00,2020,221,13,13,12,-8,76.8
2020-08-08 15:00:00,2020,221,14,13,12,-8,76.8
2020-08-08 16:00:00,2020,221,15,10,12,-10,76.8
2020-08-08 17:00:00,2020,221,16,10,12,-12,76.8
2020-08-08 18:00:00,2020,221,17,10,12,-12,76.8
2020-08-08 19:00:00,2020,221,18,7,12,-12,76.8
2020-08-08 20:00:00,2020,221,19,7,12,-10,76.8
2020-08-08 21:00:00,2020,221,20,7,12,-7,76.8
2020-08-08 22:00:00,2020,221,21,3,12,-2,76.8
2020-08-08 23:00:00,2020,221,22,3,12,0,76.8
2020-08-09 00:00:00,2020,221,23,3,12,-2,76.8
2020-08-09 01:00:00,2020,222,0,0,13,-4,76.0
2020-08-09 02:00:00,2020,222,1,0,13,-7,76.0
2020-08-09 03:00:00,2020,222,2,0,13,-8,76.0
2020-08-09 04:00:00,2020,222,3,3,13,-7,76.0
2020-08-09 05:00:00,2020,222,4,3,13,-7,76.0
2020-08-09 06:00:00,2020,222,5,3,13,-5,76.0
2020-08-09 07:00:00,2020,222,6,3,13,-2,76.0
2020-08-09 08:00:00,2020,222,7,3,13,-1,76.0
2020-08-09 09:00:00,2020,222,8,3,13,-2,76.0
2020-08-09 10:00:00,2020,222,9,7,13,-7,76.0
2020-08-09 11:00:00,2020,222,10,7,13,-8,76.0
2020-08-09 12:00:00,2020,222,11,7,13,-8,76.0
2020-08-09 13:00:00,2020,222,12,3,13,-8,76.0
2020-08-09 14:00:00,2020,222,13,3,13,-8,76.0
2020-08-09 15:00:00,2020,222,14,3,13,-6,76.0
2020-08-09 16:00:00,2020,222,15,3,13,-3,76.0
2020-08-09 17:00:00,2020,222,16,3,13,-4,76.0
2020-08-09 18:00:00,2020,222,17,3,13,-5,76.0
2020-08-09 19:00:00,2020,222,18,3,13,-4,76.0
2020-08-09 20:00:00,2020,222,19,3,13,0,76.0
2020-08-09 21:00:00,2020,222,20,3,13,4,76.0
2020-08-09 22:00:00,2020,222,21,7,13,5,76.0
2020-08-09 23:00:00,2020,222,22,7,13,5,76.0
2020-08-10 00:00:00,2020,222,23,7,13,6,76.0
2020-08-10 01:00:00,2020,223,0,3,13,4,76.2
2020-08-10 02:00:00,2020,223,1,3,13,4,76.2
2020-08-10 03:00:00,2020,223,2,3,13,6,76.2
2020-08-10 04:00:00,2020,223,3,3,13,5,76.2
2020-08-10 05:00:00,2020,223,4,3,13,2,76.2
2020-08-10 06:00:00,2020,223,5,3,13,0,76.2
2020-08-10 07:00:00,2020,223,6,3,13,-3,76.2
2020-08-10 08:00:00,2020,223,7,3,13,-5,76.2
2020-08-10 09:00:00,2020,223,8,3,13,-6,76.2
2020-08-10 10:00:00,2020,223,9,3,13,-7,76.2
2020-08-10 11:00:00,2020,223,10,3,13,-5,76.2
2020-08-10 12:00:00,2020,223,11,3,13,-4,76.2
2020-08-10 13:00:00,2020,223,12,0,13,-5,76.2
2020-08-10 14:00:00,2020,223,13,0,13,-4,76.2
2020-08-10 15:00:00,2020,223,14,0,13,0,76.2
2020-08-10 16:00:00,2020,223,15,7,13,1,76.2
2020-08-10 17:00:00,2020,223,16,7,13,-1,76.2
2020-08-10 18:00:00,2020,223,17,7,13,-1,76.2
2020-08-10 19:00:00,2020,223,18,3,13,0,76.2
2020-08-10 20:00:00,2020,223,19,3,13,3,76.2
2020-08-10 21:00:00,2020,223,20,3,13,4,76.2
2020-08-10 22:00:00,2020,223,21,7,13,3,76.2
2020-08-10 23:00:00,2020,223,22,7,13,1,76.2
2020-08-11 00:00:00,2020,223,23,7,13,-1,76.2
2020-08-11 01:00:00,2020,224,0,10,12,2,75.4
2020-08-11 02:00:00,2020,224,1,10,12,1,75.4
2020-08-11 03:00:00,2020,224,2,10,12,-3,75.4
2020-08-11 04:00:00,2020,224,3,7,12,-6,75.4
2020-08-11 05:00:00,2020,224,4,7,12,-6,75.4
2020-08-11 06:00:00,2020,224,5,7,12,-5,75.4
2020-08-11 07:00:00,2020,224,6,3,12,-4,75.4
2020-08-11 08:00:00,2020,224,7,3,12,-3,75.4
2020-08-11 09:00:00,2020,224,8,3,12,-4,75.4
2020-08-11 10:00:00,2020,224,9,3,12,-3,75.4
2020-08-11 11:00:00,2020,224,10,3,12,-2,75.4
2020-08-11 12:00:00,2020,224,11,3,12,-3,75.4
2020-08-11 13:00:00,2020,224,12,3,12,-3,75.4
2020-08-11 14:00:00,2020,224,13,3,12,0,75.4
2020-08-11 15:00:00,2020,224,14,3,12,1,75.4
2020-08-11 16:00:00,2020,224,15,0,12,2,75.4
2020-08-11 17:00:00,2020,224,16,0,12,1,75.4
2020-08-11 18:00:00,2020,224,17,0,12,1,75.4
2020-08-11 19:00:00,2020,224,18,0,12,5,75.4
2020-08-11 20:00:00,2020,224,19,0,12,6,75.4
2020-08-11 21:00:00,2020,224,20,0,12,5,75.4
2020-08-11 22:00:00,2020,224,21,3,12,4,75.4
2020-08-11 23:00:00,2020,224,22,3,12,7,75.4
2020-08-12 00:00:00,2020,224,23,3,12,10,75.4
2020-08-12 01:00:00,2020,225,0,3,17,10,75.1
2020-08-12 02:00:00,2020,225,1,3,17,10,75.1
2020-08-12 03:00:00,2020,225,2,3,17,12,75.1
2020-08-12 04:00:00,2020,225,3,13,17,9,75.1
2020-08-12 05:00:00,2020,225,4,13,17,5,75.1
2020-08-12 06:00:00,2020,225,5,13,17,3,75.1
2020-08-12 07:00:00,2020,225,6,10,17,2,75.1
2020-08-12 08:00:00,2020,225,7,10,17,2,75.1
2020-08-12 09:00:00,2020,225,8,10,17,0,75.1
2020-08-12 10:00:00,2020,225,9,7,17,1,75.1
2020-08-12 11:00:00,2020,225,10,7,17,2,75.1
2020-08-12 12:00:00,2020,225,11,7,17,3,75.1
2020-08-12 13:00:00,2020,225,12,10,17,3,75.1
2020-08-12 14:00:00,2020,225,13,10,17,6,75.1
2020-08-12 15:00:00,2020,225,14,10,17,7,75.1
2020-08-12 16:00:00,2020,225,15,7,17,8,75.1
2020-08-12 17:00:00,2020,225,16,7,17,8,75.1
2020-08-12 18:00:00,2020,225,17,7,17,7,75.1
2020-08-12 19:00:00,2020,225,18,7,17,5,75.1
2020-08-12 20:00:00,2020,225,19,7,17,4,75.1
2020-08-12 21:00:00,2020,225,20,7,17,6,75.1
2020-08-12 22:00:00,2020,225,21,3,17,7,75.1
2020-08-12 23:00:00,2020,225,22,3,17,5,75.1
2020-08-13 00:00:00,2020,225,23,3,17,2,75.1
2020-08-13 01:00:00,2020,226,0,17,10,1,74.2
2020-08-13 02:00:00,2020,226,1,17,10,0,74.2
2020-08-13 03:00:00,2020,226,2,17,10,0,74.2
2020-08-13 04:00:00,2020,226,3,7,10,-2,74.2
2020-08-13 05:00:00,2020,226,4,7,10,-1,74.2
2020-08-13 06:00:00,2020,226,5,7,10,2,74.2
2020-08-13 07:00:00,2020,226,6,3,10,4,74.2
2020-08-13 08:00:00,2020,226,7,3,10,7,74.2
2020-08-13 09:00:00,2020,226,8,3,10,6,74.2
2020-08-13 10:00:00,2020,226,9,3,10,5,74.2
2020-08-13 11:00:00,2020,226,10,3,10,4,74.2
2020-08-13 12:00:00,2020,226,11,3,10,2,74.2
2020-08-13 13:00:00,2020,226,12,13,10,2,74.2
2020-08-13 14:00:00,2020,226,13,13,10,2,74.2
2020-08-13 15:00:00,2020,226,14,13,10,3,74.2
2020-08-13 16:00:00,2020,226,15,3,10,2,74.2
2020-08-13 17:00:00,2020,226,16,3,10,3,74.2
2020-08-13 18:00:00,2020,226,17,3,10,1,74.2
2020-08-13 19:00:00,2020,226,18,3,10,-1,74.2
2020-08-13 20:00:00,2020,226,19,3,10,-1,74.2
2020-08-13 21:00:00,2020,226,20,3,10,2,74.2
2020-08-13 22:00:00,2020,226,21,13,10,-1,74.2
2020-08-13 23:00:00,2020,226,22,13,10,-5,74.2
2020-08-14 00:00:00,2020,226,23,13,10,-5,74.2
2020-08-14 01:00:00,2020,227,0,10,5,-2,72.6
2020-08-14 02:00:00,2020,227,1,10,5,1,72.6
2020-08-14 03:00:00,2020,227,2,10,5,6,72.6
2020-08-14 04:00:00,2020,227,3,17,5,4,72.6
2020-08-14 05:00:00,2020,227,4,17,5,1,72.6
2020-08-14 06:00:00,2020,227,5,17,5,3,72.6
2020-08-14 07:00:00,2020,227,6,3,5,3,72.6
2020-08-14 08:00:00,2020,227,7,3,5,2,72.6
2020-08-14 09:00:00,2020,227,8,3,5,3,72.6
2020-08-14 10:00:00,2020,227,9,3,5,6,72.6
2020-08-14 11:00:00,2020,227,10,3,5,8,72.6
2020-08-14 12:00:00,2020,227,11,3,5,7,72.6
2020-08-14 13:00:00,2020,227,12,7,5,5,72.6
2020-08-14 14:00:00,2020,227,13,7,5,6,72.6
2020-08-14 15:00:00,2020,227,14,7,5,6,72.6
2020-08-14 16:00:00,2020,227,15,3,5,7,72.6
2020-08-14 17:00:00,2020,227,16,3,5,6,72.6
2020-08-14 18:00:00,2020,227,17,3,5,3,72.6
2020-08-14 19:00:00,2020,227,18,7,5,-1,72.6
2020-08-14 20:00:00,2020,227,19,7,5,-5,72.6
2020-08-14 21:00:00,2020,227,20,7,5,-8,72.6
2020-08-14 22:00:00,2020,227,21,7,5,-9,72.6
2020-08-14 23:00:00,2020,227,22,7,5,-9,72.6
2020-08-15 00:00:00,2020,227,23,7,5,-11,72.6
